Volume ID	Volume Name	Volume Mass
0	World	107853
1	Envelope	107853
2	ArVolume	6551.19
3	VacuumLayer	6.38372e-23
4	Wall	2995.02
5	Wall	2052.04
6	Container	11598.2
7	Bulk	1.00631
8	BEGe	1.11201
9	Wire	1.45685e-05
10	Wire	4.63341e-05
11	Wire	4.63341e-05
12	Wire	4.63341e-05
13	Wire	4.63341e-05
14	Wire	3.26887e-06
15	Wire	8.11543e-06
16	Wire	1.23404e-05
17	Wire	2.26095e-05
18	LightGuide	0.00308325
19	LightGuide	0.00179581
20	LightGuide	1.90568
21	physArVolumeSiPM	0.0871707
22	physArVolumeReflector	0.0411535
23	PackedBEGe	1.24952
24	Wire	0.000263091
25	ASIC	0.000466
26	PackedBEGe	1.24952
27	Wire	0.000263091
28	ASIC	0.000466
29	PackedBEGe	1.24952
30	Wire	0.000263091
31	ASIC	0.000466
32	PackedBEGe	1.24952
33	Wire	0.000263091
34	ASIC	0.000466
35	PackedBEGe	1.24952
36	Wire	0.000263091
37	ASIC	0.000466
38	PackedBEGe	1.24952
39	Wire	0.000263091
40	ASIC	0.000466
41	PackedBEGe	1.24952
42	Wire	0.000263091
43	ASIC	0.000466
44	PackedBEGe	1.24952
45	Wire	0.000263091
46	ASIC	0.000466
47	PackedBEGe	1.24952
48	Wire	0.000263091
49	ASIC	0.000466
50	PackedBEGe	1.24952
51	Wire	0.000263091
52	ASIC	0.000466
53	PackedBEGe	1.24952
54	Wire	0.000263091
55	ASIC	0.000466
56	PackedBEGe	1.24952
57	Wire	0.000263091
58	ASIC	0.000466
59	PackedBEGe	1.24952
60	Wire	0.000263091
61	ASIC	0.000466
62	PackedBEGe	1.24952
63	Wire	0.000263091
64	ASIC	0.000466
65	PackedBEGe	1.24952
66	Wire	0.000263091
67	ASIC	0.000466
68	PackedBEGe	1.24952
69	Wire	0.000263091
70	ASIC	0.000466
71	ArVolumeReflector	0.0413032
72	Fiber	0.00195149
73	Fiber	0.0004188
74	Fiber	0.000221789
75	Fiber	5.65761e-06
76	physFiberSiPM	1.165e-06
77	Fiber	0.00260014
78	FiberSiPM	1.169e-06
79	SiBoard	2.33e-06
80	FiberSiPM	1.169e-06
81	SiBoard	2.33e-06
82	Fiber	0.00260014
83	FiberSiPM	1.169e-06
84	SiBoard	2.33e-06
85	FiberSiPM	1.169e-06
86	SiBoard	2.33e-06
87	Fiber	0.00260014
88	FiberSiPM	1.169e-06
89	SiBoard	2.33e-06
90	FiberSiPM	1.169e-06
91	SiBoard	2.33e-06
92	Fiber	0.00260014
93	FiberSiPM	1.169e-06
94	SiBoard	2.33e-06
95	FiberSiPM	1.169e-06
96	SiBoard	2.33e-06
97	Fiber	0.00260014
98	FiberSiPM	1.169e-06
99	SiBoard	2.33e-06
100	FiberSiPM	1.169e-06
101	SiBoard	2.33e-06
102	Fiber	0.00260014
103	FiberSiPM	1.169e-06
104	SiBoard	2.33e-06
105	FiberSiPM	1.169e-06
106	SiBoard	2.33e-06
107	Fiber	0.00260014
108	FiberSiPM	1.169e-06
109	SiBoard	2.33e-06
110	FiberSiPM	1.169e-06
111	SiBoard	2.33e-06
112	Fiber	0.00260014
113	FiberSiPM	1.169e-06
114	SiBoard	2.33e-06
115	FiberSiPM	1.169e-06
116	SiBoard	2.33e-06
117	Fiber	0.00260014
118	FiberSiPM	1.169e-06
119	SiBoard	2.33e-06
120	FiberSiPM	1.169e-06
121	SiBoard	2.33e-06
122	Fiber	0.00260014
123	FiberSiPM	1.169e-06
124	SiBoard	2.33e-06
125	FiberSiPM	1.169e-06
126	SiBoard	2.33e-06
127	Fiber	0.00260014
128	FiberSiPM	1.169e-06
129	SiBoard	2.33e-06
130	FiberSiPM	1.169e-06
131	SiBoard	2.33e-06
132	Fiber	0.00260014
133	FiberSiPM	1.169e-06
134	SiBoard	2.33e-06
135	FiberSiPM	1.169e-06
136	SiBoard	2.33e-06
137	Fiber	0.00260014
138	FiberSiPM	1.169e-06
139	SiBoard	2.33e-06
140	FiberSiPM	1.169e-06
141	SiBoard	2.33e-06
142	Fiber	0.00260014
143	FiberSiPM	1.169e-06
144	SiBoard	2.33e-06
145	FiberSiPM	1.169e-06
146	SiBoard	2.33e-06
147	Fiber	0.00260014
148	FiberSiPM	1.169e-06
149	SiBoard	2.33e-06
150	FiberSiPM	1.169e-06
151	SiBoard	2.33e-06
152	Fiber	0.00260014
153	FiberSiPM	1.169e-06
154	SiBoard	2.33e-06
155	FiberSiPM	1.169e-06
156	SiBoard	2.33e-06
157	Fiber	0.00260014
158	FiberSiPM	1.169e-06
159	SiBoard	2.33e-06
160	FiberSiPM	1.169e-06
161	SiBoard	2.33e-06
162	Fiber	0.00260014
163	FiberSiPM	1.169e-06
164	SiBoard	2.33e-06
165	FiberSiPM	1.169e-06
166	SiBoard	2.33e-06
167	Fiber	0.00260014
168	FiberSiPM	1.169e-06
169	SiBoard	2.33e-06
170	FiberSiPM	1.169e-06
171	SiBoard	2.33e-06
172	Fiber	0.00260014
173	FiberSiPM	1.169e-06
174	SiBoard	2.33e-06
175	FiberSiPM	1.169e-06
176	SiBoard	2.33e-06
177	Fiber	0.00260014
178	FiberSiPM	1.169e-06
179	SiBoard	2.33e-06
180	FiberSiPM	1.169e-06
181	SiBoard	2.33e-06
182	Fiber	0.00260014
183	FiberSiPM	1.169e-06
184	SiBoard	2.33e-06
185	FiberSiPM	1.169e-06
186	SiBoard	2.33e-06
187	Fiber	0.00260014
188	FiberSiPM	1.169e-06
189	SiBoard	2.33e-06
190	FiberSiPM	1.169e-06
191	SiBoard	2.33e-06
192	Fiber	0.00260014
193	FiberSiPM	1.169e-06
194	SiBoard	2.33e-06
195	FiberSiPM	1.169e-06
196	SiBoard	2.33e-06
197	Fiber	0.00260014
198	FiberSiPM	1.169e-06
199	SiBoard	2.33e-06
200	FiberSiPM	1.169e-06
201	SiBoard	2.33e-06
202	Fiber	0.00260014
203	FiberSiPM	1.169e-06
204	SiBoard	2.33e-06
205	FiberSiPM	1.169e-06
206	SiBoard	2.33e-06
207	Fiber	0.00260014
208	FiberSiPM	1.169e-06
